id,name,short_hand,type,ratio_to_parent,ratio_type,parent_id
f4b97f0b-8643-4c4f-8838-ca7c7bf12fe7,square yards,NULL,AREA,0.83612736,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
025c5088-e26a-4e7f-9587-49271f6a4e3f,townships,NULL,AREA,93239571.972,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
7f61e93f-f34d-4724-8b87-50d952a7c01b,bytes,NULL,DATA,NULL,NULL,NULL
0676ccf3-bbf1-43b8-9961-052be9ee8b94,bits,NULL,DATA,0.125,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
2d5ac760-6c55-4b36-9fc4-fbf5b6a751eb,kilobits,Kb,DATA,128,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
3c826890-034e-4800-99bd-699e952c504d,kilobytes,KB,DATA,1024,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
ec754a2b-ba72-4f8c-8bb9-8d375ec0f2f8,megabits,Mb,DATA,131072,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
527c7ae0-41c3-4e10-8e3f-b92ef818bfe2,megabytes,MB,DATA,1048576,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
bea71eae-6f13-4c51-b1c1-9bbb380845f9,gigabits,Gb,DATA,134217728,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
7698b8e5-b04a-4560-b82f-24f42956ec64,gigabytes,GB,DATA,1073741824,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
7e486a11-e4bf-42b7-a9c8-285693f89889,terabits,Tb,DATA,137438953472,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
d4b8fa3f-e66a-48e0-b98f-d06e749b8b09,terabytes,TB,DATA,1099511627776,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
9763db35-f82c-4d53-b46a-6d00e014d65a,petabits,Pb,DATA,140737488355328,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
22f111b5-e35c-4e70-9202-c84ac0a8d52b,petabytes,PB,DATA,1125899906842624,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
